Trading Code,Month,Sponsor,Govt,Institute,Foreign,Public
AMCL(PRAN),"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          40.15","
                          0.00","
                          16.24","
                          0.00","
                          43.61"
AMCL(PRAN),"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          40.15","
                          0.00","
                          16.23","
                          0.00","
                          43.62"
AMCL(PRAN),"Share Holding Percentage
                    [as on May 31, 2023]","
                          40.15","
                          0.00","
                          16.26","
                          0.00","
                          43.59"
ANLIMAYARN,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          44.43","
                          0.00","
                          5.02","
                          0.00","
                          50.55"
ANLIMAYARN,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          44.43","
                          0.00","
                          5.50","
                          0.00","
                          50.07"
ANLIMAYARN,"Share Holding Percentage
                    [as on May 31, 2023]","
                          44.43","
                          0.00","
                          4.74","
                          0.00","
                          50.83"
ANWARGALV,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          35.32","
                          0.00","
                          22.55","
                          0.00","
                          42.13"
ANWARGALV,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          35.32","
                          0.00","
                          27.72","
                          0.00","
                          36.96"
ANWARGALV,"Share Holding Percentage
                    [as on May 31, 2023]","
                          35.32","
                          0.00","
                          21.16","
                          0.00","
                          43.52"
AOL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.65","
                          0.00","
                          23.96","
                          0.13","
                          45.26"
AOL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.65","
                          0.00","
                          24.08","
                          0.43","
                          44.84"
AOL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.65","
                          0.00","
                          23.00","
                          0.43","
                          45.92"
APEXFOODS,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          36.06","
                          0.00","
                          4.26","
                          0.00","
                          59.68"
APEXFOODS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          53.39","
                          0.00","
                          15.72","
                          0.00","
                          30.89"
APEXFOODS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          53.39","
                          0.00","
                          8.97","
                          0.00","
                          37.64"
APEXFOOT,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          31.75","
                          0.00","
                          24.26","
                          0.00","
                          43.99"
APEXFOOT,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.86","
                          0.00","
                          15.44","
                          0.00","
                          53.70"
APEXFOOT,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.86","
                          0.00","
                          16.34","
                          0.00","
                          52.80"
APEXSPINN,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          52.98","
                          0.00","
                          13.14","
                          0.25","
                          33.63"
APEXSPINN,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          52.98","
                          0.00","
                          14.88","
                          0.25","
                          31.89"
APEXSPINN,"Share Holding Percentage
                    [as on May 31, 2023]","
                          52.98","
                          0.00","
                          13.41","
                          0.25","
                          33.36"
APEXTANRY,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.40","
                          0.00","
                          30.00","
                          0.00","
                          39.60"
APEXTANRY,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.40","
                          0.00","
                          34.52","
                          0.00","
                          35.08"
APEXTANRY,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.40","
                          0.00","
                          37.72","
                          0.00","
                          31.88"
ARAMIT,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          45.92","
                          0.00","
                          10.45","
                          0.00","
                          43.63"
ARAMIT,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          63.58","
                          0.00","
                          11.90","
                          0.00","
                          24.52"
ARAMIT,"Share Holding Percentage
                    [as on May 31, 2023]","
                          63.58","
                          0.00","
                          11.74","
                          0.00","
                          24.68"
ARAMITCEM,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          45.92","
                          0.00","
                          10.45","
                          0.00","
                          43.63"
ARAMITCEM,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          45.92","
                          0.00","
                          11.45","
                          0.00","
                          42.63"
ARAMITCEM,"Share Holding Percentage
                    [as on May 31, 2023]","
                          45.92","
                          0.00","
                          11.70","
                          0.00","
                          42.38"
ARGONDENIM,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          36.08","
                          0.00","
                          33.71","
                          0.00","
                          30.21"
ARGONDENIM,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          35.79","
                          0.00","
                          33.46","
                          0.00","
                          30.75"
ARGONDENIM,"Share Holding Percentage
                    [as on May 31, 2023]","
                          35.79","
                          0.00","
                          35.61","
                          0.00","
                          28.60"
ASIAINS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          42.67","
                          0.00","
                          4.85","
                          0.00","
                          52.48"
ASIAINS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          42.67","
                          0.00","
                          6.85","
                          0.00","
                          50.48"
ASIAPACINS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          39.66","
                          0.00","
                          30.57","
                          0.00","
                          29.77"
ASIAPACINS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          39.66","
                          0.00","
                          30.27","
                          0.00","
                          30.07"
ATCSLGF,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          3.24","
                          0.00","
                          32.55","
                          0.17","
                          64.04"
ATCSLGF,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          3.24","
                          0.00","
                          32.55","
                          0.17","
                          64.04"
ATCSLGF,"Share Holding Percentage
                    [as on May 31, 2023]","
                          3.24","
                          0.00","
                          32.55","
                          0.17","
                          64.04"
AZIZPIPES,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          23.93","
                          0.00","
                          10.49","
                          0.00","
                          65.58"
AZIZPIPES,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          22.81","
                          0.00","
                          9.14","
                          0.00","
                          68.05"
AZIZPIPES,"Share Holding Percentage
                    [as on May 31, 2023]","
                          20.07","
                          0.00","
                          9.62","
                          0.00","
                          70.31"
BANGAS,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          31.00","
                          0.00","
                          5.88","
                          0.00","
                          63.13"
BANGAS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.99","
                          0.00","
                          5.69","
                          0.00","
                          63.32"
BANGAS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.99","
                          0.00","
                          5.95","
                          0.00","
                          63.06"
BANKASIA,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          49.28","
                          0.00","
                          39.77","
                          0.21","
                          10.74"
BANKASIA,"Share Holding Percentage
                    [as on May 31, 2023]","
                          49.27","
                          0.00","
                          39.84","
                          0.21","
                          10.68"
BARKAPOWER,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          31.87","
                          0.00","
                          27.51","
                          0.00","
                          40.62"
BARKAPOWER,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          31.43","
                          0.00","
                          26.70","
                          0.00","
                          41.87"
BARKAPOWER,"Share Holding Percentage
                    [as on May 31, 2023]","
                          31.43","
                          0.00","
                          24.73","
                          0.00","
                          43.84"
BATASHOE,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          70.00","
                          0.00","
                          19.96","
                          1.35","
                          8.69"
BATASHOE,"Share Holding Percentage
                    [as on May 31, 2023]","
                          70.00","
                          0.00","
                          19.85","
                          1.35","
                          8.80"
BATBC,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          72.91","
                          0.64","
                          12.86","
                          6.25","
                          7.34"
BATBC,"Share Holding Percentage
                    [as on May 31, 2023]","
                          72.91","
                          0.64","
                          12.87","
                          6.23","
                          7.35"
BBS,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.01","
                          0.00","
                          33.22","
                          0.30","
                          36.47"
BBS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.01","
                          0.00","
                          21.20","
                          0.14","
                          48.65"
BBS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.01","
                          0.00","
                          21.23","
                          0.14","
                          48.62"
BBSCABLES,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.98","
                          0.00","
                          21.92","
                          0.52","
                          46.58"
BBSCABLES,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.98","
                          0.00","
                          20.56","
                          0.47","
                          47.99"
BBSCABLES,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.98","
                          0.00","
                          20.86","
                          0.46","
                          47.70"
BDAUTOCA,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.06","
                          0.00","
                          11.68","
                          0.00","
                          58.26"
BDAUTOCA,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.06","
                          0.00","
                          16.77","
                          0.00","
                          53.17"
BDAUTOCA,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.06","
                          0.00","
                          10.71","
                          0.00","
                          59.23"
BDCOM,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.00","
                          0.00","
                          4.96","
                          0.00","
                          65.04"
BDCOM,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.00","
                          0.00","
                          4.64","
                          0.00","
                          65.36"
BDCOM,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.00","
                          0.00","
                          4.12","
                          0.00","
                          65.88"
BDLAMPS,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          61.88","
                          0.00","
                          8.96","
                          0.03","
                          29.14"
BDLAMPS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          61.88","
                          0.00","
                          6.60","
                          0.03","
                          31.49"
BDLAMPS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          61.88","
                          0.00","
                          6.45","
                          0.03","
                          31.64"
BDTHAI,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.32","
                          0.00","
                          10.27","
                          0.79","
                          58.62"
BDTHAI,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.32","
                          0.00","
                          8.85","
                          0.81","
                          60.02"
BDTHAI,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.32","
                          0.00","
                          9.02","
                          0.81","
                          59.85"
BDTHAIFOOD,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          49.19","
                          0.00","
                          22.82","
                          0.00","
                          27.99"
BDTHAIFOOD,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          49.19","
                          0.00","
                          23.83","
                          0.00","
                          26.98"
BDTHAIFOOD,"Share Holding Percentage
                    [as on May 31, 2023]","
                          49.19","
                          0.00","
                          22.65","
                          0.00","
                          28.16"
BDWELDING,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          31.01","
                          0.00","
                          2.88","
                          0.72","
                          65.39"
BDWELDING,"Share Holding Percentage
                    [as on May 31, 2023]","
                          31.01","
                          0.00","
                          2.88","
                          0.72","
                          65.39"
BEACHHATCH,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          34.97","
                          0.00","
                          15.23","
                          0.00","
                          49.80"
BEACHHATCH,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          34.97","
                          0.00","
                          13.11","
                          0.00","
                          51.92"
BEACHHATCH,"Share Holding Percentage
                    [as on May 31, 2023]","
                          34.97","
                          0.00","
                          14.62","
                          0.00","
                          50.41"
BENGALWTL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          53.23","
                          0.00","
                          29.09","
                          0.00","
                          17.68"
BENGALWTL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          53.23","
                          0.00","
                          27.97","
                          0.00","
                          18.80"
BERGERPBL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          95.00","
                          0.00","
                          3.68","
                          0.20","
                          1.12"
BERGERPBL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          95.00","
                          0.00","
                          3.67","
                          0.20","
                          1.13"
BEXGSUKUK,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          0.00","
                          0.00","
                          95.67","
                          0.00","
                          4.33"
BEXIMCO,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          33.94","
                          0.00","
                          28.80","
                          0.76","
                          36.50"
BEXIMCO,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          33.19","
                          0.00","
                          31.37","
                          0.89","
                          34.55"
BEXIMCO,"Share Holding Percentage
                    [as on May 31, 2023]","
                          33.19","
                          0.00","
                          31.97","
                          0.89","
                          33.95"
BGIC,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          37.87","
                          0.00","
                          41.59","
                          0.00","
                          20.54"
BGIC,"Share Holding Percentage
                    [as on May 31, 2023]","
                          37.87","
                          0.00","
                          41.62","
                          0.00","
                          20.51"
BNICL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          60.13","
                          0.00","
                          5.23","
                          0.00","
                          34.64"
BNICL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          60.13","
                          0.00","
                          5.51","
                          0.00","
                          34.36"
BPML,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          70.86","
                          0.00","
                          6.42","
                          0.00","
                          22.72"
BPML,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          70.86","
                          0.00","
                          8.60","
                          0.00","
                          20.54"
BPML,"Share Holding Percentage
                    [as on May 31, 2023]","
                          70.86","
                          0.00","
                          10.07","
                          0.00","
                          19.07"
BPPL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          38.15","
                          0.00","
                          7.17","
                          0.00","
                          54.68"
BPPL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          38.15","
                          0.00","
                          6.99","
                          0.00","
                          54.86"
BRACBANK,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          46.24","
                          0.00","
                          13.27","
                          33.40","
                          7.09"
BRACBANK,"Share Holding Percentage
                    [as on May 31, 2023]","
                          46.24","
                          0.00","
                          13.32","
                          33.33","
                          7.11"
BSC,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          0.00","
                          52.10","
                          24.30","
                          0.00","
                          23.60"
BSC,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          0.00","
                          52.10","
                          23.90","
                          0.00","
                          24.00"
BSC,"Share Holding Percentage
                    [as on May 31, 2023]","
                          0.00","
                          52.10","
                          23.90","
                          0.00","
                          24.00"
BSRMLTD,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          47.12","
                          0.00","
                          14.47","
                          17.49","
                          20.92"
BSRMLTD,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          47.12","
                          0.00","
                          14.77","
                          17.29","
                          20.82"
BSRMLTD,"Share Holding Percentage
                    [as on May 31, 2023]","
                          47.12","
                          0.00","
                          14.77","
                          17.29","
                          20.82"
BSRMSTEEL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          72.09","
                          0.00","
                          17.27","
                          0.39","
                          10.25"
BSRMSTEEL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          72.09","
                          0.00","
                          17.48","
                          0.31","
                          10.12"
BSRMSTEEL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          72.09","
                          0.00","
                          17.53","
                          0.31","
                          10.07"
BXPHARMA,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.14","
                          0.00","
                          21.82","
                          28.61","
                          19.43"
BXPHARMA,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.14","
                          0.00","
                          23.64","
                          28.95","
                          17.27"
BXPHARMA,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.14","
                          0.00","
                          23.76","
                          28.90","
                          17.20"
CAPMBDBLMF,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          19.95","
                          0.00","
                          25.13","
                          0.00","
                          54.92"
